Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 2796 	 relax: 0.001775 	 pack: 0.000002
frontier_size: 1898 	 relax: 0.001000 	 pack: 0.000001
frontier_size: 1163 	 relax: 0.000791 	 pack: 0.000001
frontier_size: 827 	 relax: 0.000308 	 pack: 0.000001
frontier_size: 799 	 relax: 0.000481 	 pack: 0.000001
frontier_size: 756 	 relax: 0.000402 	 pack: 0.000000
frontier_size: 743 	 relax: 0.000525 	 pack: 0.000000
frontier_size: 667 	 relax: 0.000684 	 pack: 0.000001
frontier_size: 1354 	 relax: 0.000818 	 pack: 0.000001
frontier_size: 1166 	 relax: 0.000848 	 pack: 0.000001
frontier_size: 2781 	 relax: 0.001038 	 pack: 0.000001
frontier_size: 2570 	 relax: 0.001070 	 pack: 0.000001
frontier_size: 1110 	 relax: 0.000689 	 pack: 0.000000
frontier_size: 911 	 relax: 0.000536 	 pack: 0.000000
frontier_size: 1067 	 relax: 0.000546 	 pack: 0.000001
frontier_size: 1589 	 relax: 0.000701 	 pack: 0.000001
frontier_size: 2140 	 relax: 0.000875 	 pack: 0.000001
frontier_size: 2502 	 relax: 0.000824 	 pack: 0.000001
frontier_size: 1749 	 relax: 0.001186 	 pack: 0.000001
frontier_size: 1730 	 relax: 0.000574 	 pack: 0.000001
frontier_size: 1779 	 relax: 0.000550 	 pack: 0.000000
frontier_size: 2261 	 relax: 0.000732 	 pack: 0.000001
frontier_size: 2433 	 relax: 0.000748 	 pack: 0.000001
frontier_size: 2874 	 relax: 0.001074 	 pack: 0.000001
frontier_size: 4537 	 relax: 0.001057 	 pack: 0.000001
frontier_size: 3039 	 relax: 0.001161 	 pack: 0.000001
frontier_size: 7260 	 relax: 0.003261 	 pack: 0.000004
frontier_size: 11776 	 relax: 0.003076 	 pack: 0.000004
frontier_size: 7204 	 relax: 0.001344 	 pack: 0.000001
frontier_size: 4280 	 relax: 0.000903 	 pack: 0.000001
frontier_size: 4036 	 relax: 0.001411 	 pack: 0.000001
frontier_size: 4984 	 relax: 0.001065 	 pack: 0.000001
frontier_size: 9072 	 relax: 0.001780 	 pack: 0.000001
frontier_size: 3563 	 relax: 0.001086 	 pack: 0.000001
frontier_size: 3126 	 relax: 0.001017 	 pack: 0.000001
frontier_size: 2881 	 relax: 0.001054 	 pack: 0.000001
frontier_size: 4206 	 relax: 0.001177 	 pack: 0.000000
frontier_size: 2972 	 relax: 0.006905 	 pack: 0.000002
frontier_size: 4827 	 relax: 0.001492 	 pack: 0.000001
frontier_size: 10154 	 relax: 0.001634 	 pack: 0.000001
frontier_size: 8045 	 relax: 0.001722 	 pack: 0.000002
frontier_size: 3552 	 relax: 0.001485 	 pack: 0.000002
frontier_size: 4902 	 relax: 0.002943 	 pack: 0.000002
frontier_size: 4113 	 relax: 0.004390 	 pack: 0.000002
frontier_size: 4120 	 relax: 0.001646 	 pack: 0.000002
frontier_size: 4633 	 relax: 0.001470 	 pack: 0.000001
